x;y
97.72;389
97.98;390
98.28;391
98.57;392
98.85;393
99.13;394
99.42;395
99.74;396
100.06;397
100.38;398
100.69;399
101.02;400
101.33;401
101.63;402
101.93;403
102.24;404
102.54;405
102.83;406
103.11;407
103.38;408
103.61;409
103.84;410
104.05;411
104.23;412
104.40;413
104.61;414
104.83;415
105.04;416
105.23;417
105.39;418
105.54;419
105.67;420
105.78;421
105.91;422
106.02;423
106.13;424
106.26;425
106.39;426
106.52;427
106.67;428
106.82;429
106.97;430
107.14;431
107.31;432
107.49;433
107.63;434
107.76;435
107.88;436
107.99;437
108.10;438
108.19;439
108.25;440
108.28;441
108.27;442
108.28;443
108.28;444
108.29;445
108.28;446
108.27;447
108.28;448
108.30;449
108.34;450
108.36;451
108.38;452
108.37;453
108.35;454
108.34;455
108.33;456
108.35;457
108.35;458
108.35;459
108.37;460
108.41;461
108.46;462
108.55;463
108.66;464
108.79;465
108.92;466
109.04;467
109.17;468
109.31;469
109.40;470
109.46;471
109.50;472
109.53;473
109.56;474
109.57;475
109.57;476
109.60;477
109.64;478
109.70;479
109.75;480
109.80;481
109.83;482
109.85;483
109.84;484
109.82;485
109.81;486
109.82;487
109.84;488
109.87;489
109.89;490
109.95;491
110.02;492
110.12;493
110.21;494
110.30;495
110.36;496
110.41;497
110.44;498
110.44;499
110.41;500
110.37;501
110.31;502
110.23;503
110.18;504
110.15;505
110.14;506
110.14;507
110.15;508
110.15;509
110.14;510
110.17;511
110.20;512
110.26;513
110.32;514
110.38;515
110.43;516
110.46;517
110.47;518
110.47;519
110.48;520
110.51;521
110.56;522
110.61;523
110.67;524
110.71;525
110.74;526
110.75;527
110.74;528
110.71;529
110.67;530
110.65;531
110.66;532
110.68;533
110.72;534
110.76;535
110.78;536
110.80;537
110.85;538
110.91;539
110.95;540
110.96;541
110.97;542
110.99;543
111.01;544
111.03;545
111.05;546
111.06;547
111.06;548
111.04;549
111.01;550
111.01;551
111.02;552
111.02;553
110.99;554
110.98;555
110.96;556
110.97;557
110.97;558
110.97;559
110.97;560
110.96;561
110.93;562
110.89;563
110.88;564
110.90;565
110.94;566
110.98;567
111.03;568
111.07;569
111.11;570
111.12;571
111.12;572
111.10;573
111.07;574
111.01;575
110.95;576
110.92;577
110.91;578
110.93;579
110.96;580
111.00;581
111.03;582
111.05;583
111.05;584
111.05;585
111.02;586
110.99;587
110.93;588
110.87;589
110.84;590
110.83;591
110.84;592
110.87;593
110.91;594
110.93;595
110.96;596
110.96;597
110.96;598
110.98;599
