x;y
87.25;460
87.24;461
87.22;462
87.21;463
87.19;464
87.18;465
87.16;466
87.14;467
87.13;468
87.11;469
87.09;470
87.08;471
87.06;472
87.04;473
87.02;474
87.00;475
86.98;476
86.96;477
86.94;478
86.90;479
86.84;480
86.78;481
86.73;482
86.70;483
86.67;484
86.65;485
86.63;486
86.62;487
86.60;488
86.59;489
86.58;490
86.56;491
86.55;492
86.53;493
86.51;494
86.49;495
86.46;496
86.44;497
86.41;498
86.38;499
86.35;500
86.33;501
86.30;502
86.27;503
86.23;504
86.20;505
86.17;506
86.14;507
86.10;508
86.07;509
86.03;510
86.00;511
85.96;512
85.93;513
85.89;514
85.85;515
85.84;516
85.83;517
85.83;518
85.82;519
85.79;520
85.76;521
85.74;522
85.73;523
85.73;524
85.74;525
85.76;526
85.77;527
85.79;528
85.79;529
85.80;530
85.79;531
85.79;532
85.77;533
85.76;534
85.76;535
85.77;536
85.80;537
85.83;538
85.87;539
85.90;540
85.93;541
85.95;542
85.97;543
85.98;544
85.98;545
85.97;546
85.96;547
85.94;548
85.92;549
85.92;550
85.93;551
85.93;552
85.92;553
85.92;554
85.93;555
85.94;556
85.96;557
85.97;558
85.99;559
86.00;560
86.00;561
86.00;562
86.00;563
85.99;564
85.97;565
85.95;566
85.92;567
85.89;568
85.88;569
85.88;570
85.88;571
85.87;572
85.86;573
85.86;574
85.87;575
85.88;576
85.90;577
85.91;578
85.92;579
85.92;580
85.92;581
85.90;582
85.89;583
85.87;584
85.85;585
85.82;586
85.78;587
85.75;588
85.71;589
85.69;590
85.69;591
85.70;592
85.72;593
85.74;594
85.77;595
85.79;596
85.80;597
85.81;598
85.80;599
